title,publishedDate,dislikeCount,commentCount,viewCount,likeCount
Loaf ,5/30/2016,6754,8235,14119595,154672
Nature ,5/30/2016,311,586,3258803,7739
video) ,5/30/2016,861,2196,6108734,39050
T-Series ,5/30/2016,1409,558,4595568,11204
What ,5/30/2016,219537,209449,486111623,2992023
(4K) ,5/30/2016,53,628,181520,672
Tutorial ,5/30/2016,233,214,1140569,1749
Version) ,5/30/2016,192211,191660,591336450,2069677
Mirrors ,5/30/2016,50086,106439,384327873,1618721
GoonRock ,5/30/2016,185564,616128,1100800943,3705013
education ,5/30/2016,109,1205,904668,10762
DM ,5/30/2016,33348,22772,56503663,419404
Xbox ,5/30/2016,21229,33730,18296092,128994
(LYRICS) ,5/30/2016,15292,32781,81400623,499528
Mallik ,5/30/2016,202,536,1641658,7981
Movie ,5/30/2016,223,822,802550,8904
Ridge ,5/30/2016,4809,9935,43195176,226479
Lo ,5/30/2016,20898,32005,86376810,751024
Awkward... ,5/30/2016,1972,2669,2965732,34622
ToysReview ,5/30/2016,11010,1314,37866976,24574
Video) ,5/30/2016,1157,3158,17112262,43623
FailArmy ,5/30/2016,1614,6830,7363526,89117
Deep ,5/30/2016,110916,361982,914836840,3379343
"Video"" ",5/30/2016,11471,3048,43069466,33172
You ,5/30/2016,91680,223820,703126900,2834940
“Hero” ,5/30/2016,1876,19596,4910516,124032
YOUTH ,5/30/2016,11342,50115,29900066,623985
Stars ,5/30/2016,139969,166882,1277821010,4119760
Legend ,5/30/2016,37402,49952,257073469,1605832
2! ,5/30/2016,1110,5991,2662837,82657
VIDEO) ,5/30/2016,598,1753,4537432,22477
Video) ,5/30/2016,2568,2583,10172084,27944
Movement ,5/30/2016,12235,13804,21317379,293537
Minaj ,5/30/2016,660757,585926,643938213,2830748
Works ,5/30/2016,2135,10608,11169603,89817
games ,5/30/2016,9,58,24658,172
ToysReview ,5/30/2016,4690,453,16714986,9754
Bass ,5/30/2016,503623,397339,1396758693,4634105
Vamos ,5/30/2016,133939,65380,860550566,1982517
ToysReview ,5/30/2016,3950,455,16419932,9197
Video) ,5/30/2016,142,222,407149,2320
Halsey ,5/30/2016,7771,14851,42390102,395354
Electrek ,5/30/2016,344,1730,1985202,5163
O'Brien ,5/30/2016,2420,9210,15673157,130933
Bonus!) ,5/30/2016,838,15570,2272738,90478
Wap ,5/30/2016,12655,12270,36063443,285831
Iverson ,5/30/2016,60200,80865,174697461,1097802
T-Series ,5/30/2016,12,23,12537,206
Hall) ,5/30/2016,24841,61317,248758467,928664
Perfect ,5/30/2016,2559,59620,6915458,114728
Time ,5/30/2016,569,5074,1617547,34096
Hodor ,5/30/2016,788,1172,1691766,14549
Ora ,5/30/2016,99037,94842,398786681,1593470
Puente ,5/30/2016,691,443,5175986,17882
Video ,5/30/2016,293,151,1143519,1764
Perfect ,5/30/2016,7878,24419,25037752,302629
attack ,5/30/2016,1603,6542,7161513,7865
Starrah ,5/30/2016,8296,6731,14535421,141908
Madden ,5/30/2016,1957,21688,19793038,97547
Year ,5/30/2016,5301,11183,25215519,121846
Time ,5/30/2016,1205,3731,4614918,12412
Time ,5/30/2016,1205,3731,4614918,12412
(The ,5/30/2016,167971,731796,1099455110,2462148
Perfect ,5/30/2016,2840,14171,9721583,158553
Video ,5/30/2016,66,14,215848,352
Addiction ,5/30/2016,2733,12131,7758678,191030
Gone”) ,5/30/2016,69917,119921,284370741,1856151
Summer ,5/30/2016,97668,70190,792425902,2280828
Life ,5/30/2016,28790,54130,208451530,1146709
(Highlight) ,5/30/2016,218,509,498473,6323
(HBO) ,5/30/2016,551,7874,5185371,20082
#15 ,5/30/2016,173,3466,200990,8233
Gum! ,5/30/2016,5295,26719,18287002,240233
GMA ,5/30/2016,55,479,230648,1865
Drake ,5/30/2016,45611,40784,138582639,593398
Update ,5/30/2016,1200,2534,7010125,19446
(Explicit) ,5/30/2016,108751,305135,309280653,2763518
SimSimi ,5/30/2016,12565,267,6361404,271201
takers ,5/30/2016,506,268,773802,1444
ToysReview ,5/30/2016,1881,41,8159059,4427
"Video"" ",5/30/2016,4462,633,22770046,12130
VIDEO ,5/30/2016,67,214,118100,3647
WHY!.flv ,5/30/2016,36305,75455,22638343,64481
Version) ,5/30/2016,26830,29399,121890368,800310
Pompeii ,5/30/2016,41361,82977,314025234,1491169
Moments ,5/30/2016,9102,12026,53470472,109160
